MCP Client Name,MCP Client Main URL,MCP Client Source Code URL,Listed In modelcontextprotocol.io
5ire,https://5ire.app/,https://github.com/nanbingxyz/5ire,Yes
Agent-cli,https://github.com/belowthetree/agent-cli,https://github.com/belowthetree/agent-cli,No
AgentAI,https://github.com/AdamStrojek/rust-agentai,https://github.com/AdamStrojek/rust-agentai,Yes
AgenticFlow,https://agenticflow.ai/mcp,,Yes
AIaW,https://aiaw.app/,https://github.com/NitroRCr/AIaW,No
AIQL TUUI,https://github.com/AI-QL/tuui,https://github.com/AI-QL/tuui,Yes
Amazon Q CLI,https://github.com/aws/amazon-q-developer-cli,https://github.com/aws/amazon-q-developer-cli,Yes
Amazon Q IDE,https://aws.amazon.com/q/developer,,Yes
Amp,https://ampcode.com,,Yes
Apify MCP Tester,https://apify.com/jiri.spilka/tester-mcp-client,,Yes
Argo-LocalAI,https://xark-argo.com,https://github.com/xark-argo/argo,No
askit-mcp,https://github.com/johnrobinsn/askit,https://github.com/johnrobinsn/askit,No
Augment Code,https://augmentcode.com,,Yes
Avatar Shell,https://github.com/mfukushim/avatar-shell,https://github.com/mfukushim/avatar-shell,Yes
BeeAI Framework,https://framework.beeai.dev,,Yes
BoltAI,https://boltai.com,,Yes
BrowseWiz,https://browsewiz.com,,No
Call Chirp,https://www.call-chirp.com,,Yes
CarrotAI,https://jintongshu.com/solutions/agent/,https://github.com/Xingsandesu/CarrotAI,No
Chainlit,https://chainlit.io/,https://github.com/chainlit/chainlit,No
Chatbox,https://chatboxai.app,,Yes
ChatFrame,https://chatframe.co,,Yes
ChatGPT,https://chatgpt.com,,Yes
ChatMCP,https://github.com/daodao97/chatmcp,https://github.com/daodao97/chatmcp,No
ChatWise,https://chatwise.app,,Yes
Cherry Studio,https://cherry-ai.com,https://github.com/CherryHQ/cherry-studio,No
Chorus,https://chorus.sh,,Yes
Claude Code,https://claude.com/product/claude-code,,Yes
Claude Desktop,https://claude.ai/download,,No
Claude Desktop App,https://claude.ai/download,,Yes
Claude.ai,https://claude.ai,,Yes
ClaudeMind,https://claudemind.com/,,No
Cline,https://marketplace.visualstudio.com/items?itemName=saoudrizwan.claude-dev,https://github.com/cline/cline,Yes
CodeGPT,https://codegpt.co,,Yes
console-chat-gpt,https://github.com/amidabuddha/console-chat-gpt,https://github.com/amidabuddha/console-chat-gpt,No
Continue,https://continue.dev/,https://github.com/continuedev/continue,Yes
Copilot-MCP,https://github.com/VikashLoomba/copilot-mcp,https://github.com/VikashLoomba/copilot-mcp,Yes
Cursor,https://cursor.com,https://github.com/getcursor/cursor,Yes
Daydreams Agents,https://github.com/daydreamsai/daydreams,https://github.com/daydreamsai/daydreams,Yes
DeepChat,https://deepchat.thinkinai.xyz/,https://github.com/thinkinaixyz/deepchat,No
Dolphin-MCP,https://github.com/cognitivecomputations/dolphin-mcp,https://github.com/cognitivecomputations/dolphin-mcp,No
ECA,https://eca.dev,,Yes
eechat,https://www.ee.chat/,https://github.com/Lucassssss/eechat,No
Emacs Mcp,https://github.com/lizqwerscott/mcp.el,https://github.com/lizqwerscott/mcp.el,Yes
Enconvo,https://enconvo.com,https://github.com/Enconvo,No
fast-agent,https://github.com/evalstate/fast-agent,https://github.com/evalstate/fast-agent,Yes
FlowDown,https://github.com/Lakr233/FlowDown,https://github.com/Lakr233/FlowDown,Yes
FLUJO,https://github.com/mario-andreschak/FLUJO,https://github.com/mario-andreschak/FLUJO,Yes
Gemini CLI,https://goo.gle/gemini-cli,,Yes
GenAIScript,https://microsoft.github.io/genaiscript/reference/scripts/mcp-tools/,,Yes
Genkit,https://github.com/firebase/genkit,https://github.com/firebase/genkit,Yes
GitHub Copilot coding agent,https://docs.github.com/en/enterprise-cloud@latest/copilot/concepts/about-copilot-coding-agent,https://docs.github.com/en/enterprise-cloud@latest/copilot/concepts/about-copilot-coding-agent,Yes
Glama,https://glama.ai/chat,,Yes
Glue,https://glue.ai,,No
Goose,https://github.com/block/goose,https://github.com/block/goose,Yes
gptme,https://github.com/gptme/gptme,https://github.com/gptme/gptme,Yes
HyperAgent,https://github.com/hyperbrowserai/HyperAgent,https://github.com/hyperbrowserai/HyperAgent,Yes
HyperChat,https://github.com/BigSweetPotatoStudio/HyperChat,https://github.com/BigSweetPotatoStudio/HyperChat,No
Jenova,https://www.jenova.ai,,Yes
JetBrains AI Assistant,https://plugins.jetbrains.com/plugin/22282-jetbrains-ai-assistant,,Yes
JetBrains Junie,https://www.jetbrains.com/junie,,Yes
kibitz,https://kibi.tz,https://github.com/nick1udwig/kibitz,No
Kilo Code,https://github.com/Kilo-Org/kilocode,https://github.com/Kilo-Org/kilocode,Yes
Kiro,https://kiro.dev,https://github.com/kirodotdev/Kiro,No
Klavis AI Slack/Discord/Web,https://www.klavis.ai/,,Yes
Langdock,https://docs.langdock.com/resources/integrations/mcp,,Yes
Langflow,https://github.com/langflow-ai/langflow,https://github.com/langflow-ai/langflow,Yes
LibreChat,https://www.librechat.ai/,https://github.com/danny-avila/LibreChat,Yes
LM Studio,https://lmstudio.ai,,Yes
LM-Kit.NET,https://lm-kit.com/products/lm-kit-net/,,Yes
Lutra,https://lutra.ai,,Yes
MCP Bundler for MacOS,https://mcp-bundler.maketry.xyz,,Yes
MCP Chatbot,https://github.com/3choff/mcp-chatbot,https://github.com/3choff/mcp-chatbot,No
MCP CLI client,https://github.com/adhikasp/mcp-client-cli,https://github.com/adhikasp/mcp-client-cli,No
MCP Simple Slackbot,https://github.com/sooperset/mcp-client-slackbot,https://github.com/sooperset/mcp-client-slackbot,No
MCP SuperAssistant,https://mcpsuperassistant.ai/,https://github.com/srbhptl39/MCP-SuperAssistant,No
mcp-agent,https://github.com/lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent,Yes
mcp-client-chatbot,https://github.com/cgoinglove/mcp-client-chatbot,https://github.com/cgoinglove/mcp-client-chatbot,Yes
mcp-use,https://github.com/pietrozullo/mcp-use,https://github.com/pietrozullo/mcp-use,Yes
MCPCLIHost,https://github.com/vincent-pli/mcp-cli-host,https://github.com/vincent-pli/mcp-cli-host,No
MCPHub,https://github.com/ravitemer/mcphub.nvim,https://github.com/ravitemer/mcphub.nvim,Yes
McPico,https://github.com/cryptax/mcpico,https://github.com/cryptax/mcpico,No
MCPJam,https://github.com/MCPJam/inspector,https://github.com/MCPJam/inspector,Yes
MCPOmni Connect,https://github.com/Abiorh001/mcp_omni_connect,https://github.com/Abiorh001/mcp_omni_connect,Yes
Memex,https://memex.tech/,,Yes
Microsoft Copilot Studio,https://learn.microsoft.com/en-us/microsoft-copilot-studio/agent-extend-action-mcp,,Yes
MindPal,https://mindpal.io,https://github.com/mindpal-ai/mindpal,Yes
Mistral AI: Le Chat,https://chat.mistral.ai,,Yes
modelcontextchat.com,https://modelcontextchat.com,,Yes
MooPoint,https://moopoint.io,,Yes
Msty Studio,https://msty.ai,,Yes
Needle,https://needle.app,,Yes
Nerve,https://github.com/evilsocket/nerve,https://github.com/evilsocket/nerve,No
NextChat,https://nextchat.club/,https://github.com/ChatGPTNextWeb/NextChat,No
NVIDIA Agent Intelligence toolkit,https://github.com/NVIDIA/AIQToolkit,https://github.com/NVIDIA/AIQToolkit,Yes
OpenSumi,https://github.com/opensumi/core,https://github.com/opensumi/core,Yes
